,Date,Date_YMD,Status,States,value
0,14-Mar-20,2020-03-14,Confirmed,Andaman and Nicobar,0
1,14-Mar-20,2020-03-14,Recovered,Andaman and Nicobar,0
2,14-Mar-20,2020-03-14,Deceased,Andaman and Nicobar,0
3,15-Mar-20,2020-03-15,Confirmed,Andaman and Nicobar,0
4,15-Mar-20,2020-03-15,Recovered,Andaman and Nicobar,0
5,15-Mar-20,2020-03-15,Deceased,Andaman and Nicobar,0
6,16-Mar-20,2020-03-16,Confirmed,Andaman and Nicobar,0
7,16-Mar-20,2020-03-16,Recovered,Andaman and Nicobar,0
8,16-Mar-20,2020-03-16,Deceased,Andaman and Nicobar,0
9,17-Mar-20,2020-03-17,Confirmed,Andaman and Nicobar,0
10,17-Mar-20,2020-03-17,Recovered,Andaman and Nicobar,0
11,17-Mar-20,2020-03-17,Deceased,Andaman and Nicobar,0
12,18-Mar-20,2020-03-18,Confirmed,Andaman and Nicobar,0
13,18-Mar-20,2020-03-18,Recovered,Andaman and Nicobar,0
14,18-Mar-20,2020-03-18,Deceased,Andaman and Nicobar,0
15,19-Mar-20,2020-03-19,Confirmed,Andaman and Nicobar,0
16,19-Mar-20,2020-03-19,Recovered,Andaman and Nicobar,0
17,19-Mar-20,2020-03-19,Deceased,Andaman and Nicobar,0
18,20-Mar-20,2020-03-20,Confirmed,Andaman and Nicobar,0
19,20-Mar-20,2020-03-20,Recovered,Andaman and Nicobar,0
20,20-Mar-20,2020-03-20,Deceased,Andaman and Nicobar,0
21,21-Mar-20,2020-03-21,Confirmed,Andaman and Nicobar,0
22,21-Mar-20,2020-03-21,Recovered,Andaman and Nicobar,0
23,21-Mar-20,2020-03-21,Deceased,Andaman and Nicobar,0
24,22-Mar-20,2020-03-22,Confirmed,Andaman and Nicobar,0
25,22-Mar-20,2020-03-22,Recovered,Andaman and Nicobar,0
26,22-Mar-20,2020-03-22,Deceased,Andaman and Nicobar,0
27,23-Mar-20,2020-03-23,Confirmed,Andaman and Nicobar,0
28,23-Mar-20,2020-03-23,Recovered,Andaman and Nicobar,0
29,23-Mar-20,2020-03-23,Deceased,Andaman and Nicobar,0
30,24-Mar-20,2020-03-24,Confirmed,Andaman and Nicobar,0
31,24-Mar-20,2020-03-24,Recovered,Andaman and Nicobar,0
32,24-Mar-20,2020-03-24,Deceased,Andaman and Nicobar,0
33,25-Mar-20,2020-03-25,Confirmed,Andaman and Nicobar,0
34,25-Mar-20,2020-03-25,Recovered,Andaman and Nicobar,0
35,25-Mar-20,2020-03-25,Deceased,Andaman and Nicobar,0
