,Confiremed,Deceased,Recovered,Date,Date_YMD,States,value,Month-Year
0,0.0,0.0,0.0,14-Mar-20,2020-03-14,Andaman and Nicobar,0,Mar-2020
1,0.0,0.0,0.0,14-Mar-20,2020-03-14,Andaman and Nicobar,0,Mar-2020
2,0.0,0.0,0.0,14-Mar-20,2020-03-14,Andaman and Nicobar,0,Mar-2020
3,0.0,0.0,0.0,15-Mar-20,2020-03-15,Andaman and Nicobar,0,Mar-2020
4,0.0,0.0,0.0,15-Mar-20,2020-03-15,Andaman and Nicobar,0,Mar-2020
5,0.0,0.0,0.0,15-Mar-20,2020-03-15,Andaman and Nicobar,0,Mar-2020
6,0.0,0.0,0.0,16-Mar-20,2020-03-16,Andaman and Nicobar,0,Mar-2020
7,0.0,0.0,0.0,16-Mar-20,2020-03-16,Andaman and Nicobar,0,Mar-2020
8,0.0,0.0,0.0,16-Mar-20,2020-03-16,Andaman and Nicobar,0,Mar-2020
9,0.0,0.0,0.0,17-Mar-20,2020-03-17,Andaman and Nicobar,0,Mar-2020
10,0.0,0.0,0.0,17-Mar-20,2020-03-17,Andaman and Nicobar,0,Mar-2020
11,0.0,0.0,0.0,17-Mar-20,2020-03-17,Andaman and Nicobar,0,Mar-2020
12,0.0,0.0,0.0,18-Mar-20,2020-03-18,Andaman and Nicobar,0,Mar-2020
13,0.0,0.0,0.0,18-Mar-20,2020-03-18,Andaman and Nicobar,0,Mar-2020
14,0.0,0.0,0.0,18-Mar-20,2020-03-18,Andaman and Nicobar,0,Mar-2020
15,0.0,0.0,0.0,19-Mar-20,2020-03-19,Andaman and Nicobar,0,Mar-2020
16,0.0,0.0,0.0,19-Mar-20,2020-03-19,Andaman and Nicobar,0,Mar-2020
17,0.0,0.0,0.0,19-Mar-20,2020-03-19,Andaman and Nicobar,0,Mar-2020
18,0.0,0.0,0.0,20-Mar-20,2020-03-20,Andaman and Nicobar,0,Mar-2020
19,0.0,0.0,0.0,20-Mar-20,2020-03-20,Andaman and Nicobar,0,Mar-2020
20,0.0,0.0,0.0,20-Mar-20,2020-03-20,Andaman and Nicobar,0,Mar-2020
21,0.0,0.0,0.0,21-Mar-20,2020-03-21,Andaman and Nicobar,0,Mar-2020
22,0.0,0.0,0.0,21-Mar-20,2020-03-21,Andaman and Nicobar,0,Mar-2020
23,0.0,0.0,0.0,21-Mar-20,2020-03-21,Andaman and Nicobar,0,Mar-2020
24,0.0,0.0,0.0,22-Mar-20,2020-03-22,Andaman and Nicobar,0,Mar-2020
25,0.0,0.0,0.0,22-Mar-20,2020-03-22,Andaman and Nicobar,0,Mar-2020
26,0.0,0.0,0.0,22-Mar-20,2020-03-22,Andaman and Nicobar,0,Mar-2020
